tags,post
java|design-patterns|visitor-pattern,visitor pattern for java  i have a question about visitor pattern! imagine i have data structure class and inside it i have  a has-a relation with class2. class2 has specific class hierarchy with about 10 classes.    i need to itetarate list of class1 instances and dispatch request for visitor.visit(class1) according  to type of class2. i can t use iteration with class2 because i need variables from class1 context.    right now i m thinking something about dispatcher who accept class1 object and then on the basis of this class  it check type of class2 and call something     <b>visitor.visitclass2type1(class1 object)</b>    but in this case i loose same signature for visitor pattern...    another question how can i inject variables in the context of the visitor pattern. like if i traverse tree structures i want to keep parent variable for previous level to perform something on the lower level.
php|ajax|jquery,jquery ajax error - requests adding get var  my ajax function has stopped working all of a sudden.    <pre><code>function get_file_info() {     $.ajax({         type:  get           url:  http://localhost/includes/get_file_info.php           datatype:  json           jsonp: false          jsonpcallback:  callbackname           success: function(data) {             return data;         }     });   } </code></pre>   i did some debugging and found that the ajax request is going to   <pre><code>http://localhost/includes/get_file_info.php _=1297356964250 </code></pre>   i am just would like to know what it is and can be used for  also how to remove so the ajax request is like below so it works again.   <pre><code>http://localhost/includes/get_file_info.php </code></pre>   many thanks
javascript|sip,sip end call with javascript  i am creating an application where the user can initiate an x-lite call by clicking on a number from browser. initiating call was pretty easy. all i had to do  was add <code>&lt;a href= sip: &lt;numer&gt; &gt;</code>. i am unable to find a method to end the call from javascript.    i checked out vicidialer. they have a method where i can have an eyebeam minimised and running in the background the and call and hangup buttons somehow send command to it. looking to implement something like that.    thanks for the help in advance. --manish
json|business-intelligence|gooddata,export entire logical data model from gooddata  in this <a href= https://developer.gooddata.com/article/data-modeling-api  rel= nofollow  title= article >https://developer.gooddata.com/article/data-modeling-api</a> there is a logical data model and its corresponding json. however  i can t seem to find out how to extract json from a logical data model via the rest api. is there a way to do this other than using the single load interface (which would be very inefficient)     for the record  my end goal is to make a tool that extracts that json (which would be in dev)  then post that to the ldm manager2  and then apply the suggested changes through the returned maql to production. any help is greatly appreciated
boolean|elasticsearch,boost for a bool query on elasticsearch having little effect  what is currently confusing me is that in the query i add a boost to <code>category_id</code> of 10 which is much higher than the other boosts.  an item from another category  tai chi   somehow arrives at the top of the results.    i have a mapping of:   <pre><code>{    the_items : {      item : {        properties : {          brand_id : {            type :  integer          }           category_id : {            type :  integer          }           description : {            type :  multi_field              fields : {              description : {                type :  string                  analyzer :  full_title              }           }         }           title : {            type :  multi_field              fields : {              title : {                type :  string                  analyzer :  full_title              }               partial_title : {                type :  string                  index_analyzer :  partial_title                  search_analyzer :  full_title                  include_in_all : false             }           }         }           updated_at : {            type :  string          }       }     }   } } </code></pre>   i am running the following query:   <pre><code>curl -xget  http://localhost:9200/austin_items/_search pretty=true  -d  {    query : {      filtered : {        query : {          bool : {            should : [             {                match : {                  title : {                    boost : 2                     query :  chi                      type :  phrase                  }               }             }              {                match : {                  title.partial_title : {                    boost : 1                     query :  chic                  }               }             }              {                match : {                  description : {                    boost : 0.2                     query :  chic                  }               }             }              {                term : {                  category_id : {                    boost : 10                     value : 496                 }               }             }           ]         }       }     }   } }  </code></pre>   that gives me the following hits:   <pre><code>[   {      _index :  the_items        _type :  item        _id :  34410        _score : 0.7510745       _source : {        id :  34410          title :  initiez-vous au tai chi          description :  p. le tai chi est un art chevaleresque  initialement originaire de chine  maintenant partie int\u00e9grante des tr\u00e9sors du patrimoine de l humanit\u00e9. c est un art de droiture  un art pour les braves  \u00e0 la recherche du geste juste et de l attitude juste - la \ ju          brand_id :  0          category_id :  497      }   }    {      _index :  the_items        _type :  item        _id :  45393        _score : 0.45193857       _source : {        id :  45393          title :  very hot chicken          description :  laissez-vous tenter par la force du very hot chicken burger  avec sa sauce piment\u00e9e  ses rondelles de piment vert et sa pr\u00e9paration pan\u00e9e au poulet.\r\najoutez-y une tranche de chester fondu  de la salade  des tomates  le tout dans un pain parsem\u00e9 de bl\u00e9 concass\u00e9 pour un burger fort en go\u00fbt !          brand_id :  0          category_id :  496      }   } ] </code></pre>   if i boost the <code>category_id</code> field to something silly like 30 then it knocks  tai chi  out of the top results. i do actually want  thai chi  to appear in the search results in case there is nothing else but it seems like for some reason unknown to me the category_id part of the query is not working correctly. does anyone know why this is happening
c#|asp.net|asp.net-mvc|asp.net-mvc-3|asp.net-mvc-routing,mvc 3 custom route handler - skip to next custom route rule   was looking at <a href= https://stackoverflow.com/questions/1023252/asp-net-mvc-complex-routing-for-tree-path/1023602#1023602 >asp.net mvc complex routing for tree path</a> as an example of how to define a custom route handler for my mvc app. essentially  i want to give the end user ultimate flexibility in defining the url for any given page  so i provide them with a field in the interface to specify their own custom url.    my custom route handler is basically a wild-card handler. it will do a lookup and if it finds a match  map it accordingly. however  if no match is found  i want it to fall back and find the next rule that matches in the global.asax. is that possible  or do i essentially need to code the mappings that used to exist in my global.asax into my custom route handler
java,java no such method (java.lang.nosuchmethodexception) exception  i am calling my method dynamically like this:   <pre><code>java.lang.reflect.method method; method = testrecommendations.class.getmethod( level1classsimilarityforuser                                   string[].class); </code></pre>   if you go to the class <code>testrecommendations</code>  you will see that i do have it :   <pre><code>public resultset level1classsimilarityforuser(string ... useruri) { </code></pre>   what is my mistake please
c,how does returning a static variable make a difference  <pre><code>int main(){       char *s ;   char *fun( ) ;   s = fun( ) ;   printf (  %s   s ) ; }  char *fun( ){       char buffer[30] ;   strcpy ( buffer   ram - rarely adequate memory ) ;   return ( buffer ) ; } </code></pre>   why does the above code print unpredictable results  how does making char buffer[30] static help
r|ggplot2,broaden the x axis  i made one graph. but  the x axis s text is overlapped. this is my graph and code.    <a href= https://i.stack.imgur.com/ligq8.png  rel= nofollow ><img src= https://i.stack.imgur.com/ligq8.png  alt= enter image description here ></a>   <pre><code>    library( ggplot2 )      fx_rates &lt;- read.csv(file= nrusd2.csv   head=true  sep=   )      fx_rates = fx_rates[ 1:5]      head(fx_rates)      library(reshape)     mdata &lt;- melt(fx_rates  id=c( time ))       head(mdata)      library(scales)       p1 &lt;- ggplot(mdata  aes(x=time  y=value  colour=factor(variable)  group=variable)) +           geom_line() +           ggtitle( global fx rate )      p1 +  theme_bw()     p1 </code></pre>   in this graph  the time text is overlapped. so i changed the rectangle as 90.   <pre><code>p1 &lt;- ggplot(mdata  aes(x=time  y=value  colour=factor(variable)  group=variable)) +       geom_line() +       ggtitle( global fx rate )+       theme(axis.text.x = element_text(face= bold   color= #993333                                           size=8  angle=90)) </code></pre>   but i want to broad x axis. many people said   use scale_x_continuous . but i don t know how to use....    you can download csv file in this link. <a href= http://blog.naver.com/tjdudwo93/220842781714  rel= nofollow >http://blog.naver.com/tjdudwo93/220842781714</a>
ruby-on-rails,random entry that has a category_id equal to one provided  i m looking for a way to get a random database entry (video) that has a category_id equal to one i provide.     the code i m currently using to get random videos    <pre><code>def self.random()   @count = self.count()   self.find(:first  :offset =&gt; rand(count)) end </code></pre>   this code works perfectly for finding a random video  however i need to constrain it to a video that has the :category_id that i provide.     any help would be appreciated.
