tags,post
php|wordpress|google-app-engine|thumbnails|google-cloud-storage,regenerate thumbnails wordpress gae  i need to be able to regenerate thumbnails on wordpress. as wordpress on google app engine uses google cloud storage architecture the plugin  regenerate thumbnails  does not work. my whole template relies on different sizes of the image. is there any modification of the google app engine plugin that solves this problem     can i just add all the sizes i need into this collection i found in the function image_sizes() of the gae plugin    <pre><code>$images = [                  thumb  =&gt; [                      width  =&gt; intval( get_option(  thumbnail_size_w  ) )                       height  =&gt; intval( get_option(  thumbnail_size_h  ) )                       crop  =&gt; (bool) get_option(  thumbnail_crop  )                 ]                   medium  =&gt; [                      width  =&gt; intval( get_option(  medium_size_w  ) )                       height  =&gt; intval( get_option(  medium_size_h  ) )                       crop  =&gt; false                 ]                   large  =&gt; [                      width  =&gt; intval( get_option(  large_size_w  ) )                       height  =&gt; intval( get_option(  large_size_h  ) )                       crop  =&gt; false                 ]                   full  =&gt; [                      width  =&gt; null                       height  =&gt; null                       crop  =&gt; false                 ]             ]; </code></pre>   thanks
c#|asp.net-mvc|linq,calculate running total in linq  i am trying to calculate the balance of my two columns. i tried many ways.but no luck.    eg:    i want to get a result like this:    <br/><strong>debit</strong>&nbsp;&nbsp;&nbsp;  <strong>credit</strong> &nbsp;&nbsp;&nbsp; <strong>balance</strong> <br/>=====   &nbsp;&nbsp;&nbsp;   ====== &nbsp;&nbsp;&nbsp; ======= <br/>125.00  &nbsp;&nbsp;&nbsp;  0.00   &nbsp;&nbsp;&nbsp; 125.00 <br/>236.00  &nbsp;&nbsp;&nbsp;  0.00    &nbsp;&nbsp;&nbsp;361.00 <br/>  0.00  &nbsp; &nbsp;&nbsp;   100.00 &nbsp;&nbsp;&nbsp; 261.00    my code   <pre><code>var filteredsales = (from av in db.accountvouchers             join l in db.ledgers on new {ledgerid = (int32) av.ledgerid} equals new     {ledgerid = l.ledgerid}             join sm in db.salesmasters on av.voucherno equals sm.billno.tostring()             where (av.voucherdate &gt;= fromdate &amp;&amp; av.voucherdate &lt;= todate &amp;&amp; av.ledgerid == ledgerid)             group new {av  l  sm} by new             {                 av.voucherdate                  l.ledgername                  av.vouchertype                  av.voucherno                  sm.refno                  av.debit                  av.credit                  av.narration             }             into g             select new             {                  g.key.voucherdate                  g.key.ledgername                  g.key.vouchertype                  voucherno = (g.key.vouchertype !=  sales    g.key.refno : g.key.voucherno)                  //g.key.voucherno                  g.key.debit                  g.key.credit                  g.key.narration                  dsum = g.sum(s =&gt; s.av.debit)                   //balance=g.key.debit-g.key.credit                 //  tbal = int.parse(tbal) + (g.key.debit != 0   tbal + g.key.debit : tbal - g.key.credit))                                }).tolist(); </code></pre>
java|class|jbutton,how to add a button to a frame from a separate class  <pre><code>    import javax.swing.jbutton;     import javax.swing.jpanel;       public class eventbutton extends mainlayout{         //create the string for the button s text          private string button_text;          private jbutton event_button;          private jpanel event_panel;            public eventbutton(){             //initialize the button text             button_text =  set event ;             event_button = new jbutton();             event_panel = new jpanel();             event_button.settext(button_text);             event_panel.add(event_button);             add(event_panel);            } }   import javax.swing.jframe;  public class mainlayout extends jframe{     public mainlayout(){         eventbutton eb = new eventbutton();     } }   import javax.swing.*; public class tester {     public static void main(string[] args){         mainlayout frame = new mainlayout();         frame.setsize(300  300);         frame.setvisible(true);     }  } </code></pre>   those are the three separate classes. right now i want to be able to add the button to the mainlayout frame but can t seem to figure it out. when i run this code i get an error and i ve tried different things like creating the instance of the button inside the main function  the code compiles but only a frame pops up.
java|jar,exporting and running a jar  i wish to export a rather big jar - which has many dependencies from eclipse. i should also mention that my classpath differs from my buildpath  and on export i would like the classpath files to be exported as well as exporting it with the proper  running configuration .    so may questions: 1. how can i export the classpath jars with my jar  should i replace the builfpath entries with the classpath s  2. any quick way to get this done  3. when i run the resulting jar - should i just run it  java -jar myjar.jar   or do i need to specify a  -classpath ...  as well to reference it to the other jars  (note: on eclipse i am using - the export all jars option + i choose the runtime configuration and at the end result i can see a manifest file containg information).    help would be greatly appreciated.
java|cryptography|aes|salt,aes decryption is always null  i tried using salt to decrypt a <code>aes</code> encrypted message but it always returns <code>null</code> value. can anyone look at it where am i doing wrong    <pre><code>public static string decryptmessage(string encryptedmessage  string salt) {    string decryptedmessage = null;   string valuetodecrypt = encryptedmessage;   try {     key key = generatekey();     cipher c = cipher.getinstance(algorithm);     c.init(cipher.decrypt_mode  key);       for (int i = 0; i &lt; iterations; i++) {       byte[] decodedvalue = base64.decodebase64(valuetodecrypt);       byte[] decval = c.dofinal(decodedvalue);       decryptedmessage = new string(decval).substring(salt.length());       valuetodecrypt = decryptedmessage;     }     } catch (exception e) {     e.printstacktrace();    }   return decryptedmessage; }  **edit:** </code></pre>   here is corresponding encryption method which i assume  works.   <pre><code>private static final string algorithm =  aes ;     private static final int iterations = 5;     private static final byte[] keyvalue = new byte[] {  1    2    3    4                5    6    7    8    9    0    1    2    3    4    5    6  };       public static string encryptmessage(string message  string salt) {         string encmessage = null;         byte[] encval = null;         string messagewithsalt = null;         try {             key key = generatekey();              cipher c = cipher.getinstance(algorithm);             c.init(cipher.encrypt_mode  key);              for (int i = 0; i &lt; iterations; i++) {                 messagewithsalt = salt + encmessage;                 encval = c.dofinal(messagewithsalt.getbytes());                 byte[] encryptedvalue = new base64().encode(encval);                 encmessage = new string(encryptedvalue);             }          } catch (exception e) {             e.printstacktrace();          }         return encmessage;     } </code></pre>   ps: iteration is not 0;
php|ajax|timer|scheduler,curious about ajax being asynchronous and scheduled/timer event  i want a clarification about ajax on something i was thinking about...    ajax is said to be asynchronous - if you want it to be - meaning that if a javascript is run while a page loads and in that an ajax call is executed the page will continue to load while the server process the ajax request... so is it safe to assume that it can be liken to a pseudo-parallelism     now  what about two different javascripts making an ajax call consequently. that is  while the page loads it encounters two js function one after the other each making an ajax call each. because they are different js functions/ or two different js files do they have to wait for the functions to return before they move on  i think that is the case...    and finally the real question i have... if i have a js function called and in that function i palce two ajax calls then will they be processed semi-simultaneously... because i was trying something on a webpage of mine and by accident i placed two ajax calls one after the other and i think that was the reason i had some unexpected results. unfortunately i was in a hurry to deliver so i didn t pursue it but i was wondering if it world like that  because it would be very convenient for some cases...    somethign like this   <pre><code>function finalizereservation(){     var request = $.ajax({         type:        post           url:         ./scripts/php/reserve.php           data:       {                  }          datatype:    json      });      request.done(function(data textstatus jqxhr) {      });      request.fail(function(jqxhr  textstatus  errorthrown) {     });      var request2 = $.ajax({         type:        post           url:         ./scripts/php/reserve.php           data:       {                   }          datatype:    json      });      request2.done(function(data textstatus jqxhr) {      });      request2.fail(function(jqxhr  textstatus  errorthrown) {     }); </code></pre>   }    simply curious.    i was thinking it because i have a web page that records reservations. before finalizing a reservation though the guest can see the details and think about it. at that period the slot in the database is set to pending and making unavailable to another guest so they don t clash or enter in race conditions (i.e while thinking about it the other finalizes it and so when he tries to finalize it himself he cant or if was careless in the code also finalizes it). the problem is in the guest behaviour  although i have tried to capture all events of the refresh  backpage  exit tab  close window kind so the slot doesn t stay in a pending state if the guest for some reason doesn t close the form the correct way (cancel) not all are captured in all browsers. so i though about making a time limit in the server and if it exceeds it and the state is still pending the state is reversed to free (i have the form on a minute timer  after the minute goes it automatically closes and frees the slot). the problem is that the hosting server doesn t support chron jobs although i don t know much about them so i am not sure how much help they would be and the mysql doesn t support schedulers. so i thought about making two ajax call and the one to be a timer that will check the state of the slot after some time passes and act accordingly.    any thoughts are appreciated. sorry for the long post.
c#|asp.net|asp.net-mvc|partial-views|viewbag,how to pass value from partial view to shared view _layout.cshtml in asp.net mvc   there is a controller which catches an exception. i would like to pass the error message to a generic javascript in _layout.cshtml so as to apply to all pages. it is totally find if the value is passed from normal view to _layout.cshtml by  e.g. @viewbag =  error message ; in the view or viewbag.errormessage =  error message ; in the controller  but it is not working in partial view.    what should i do in order to pass the string message from partial view to _layout.cshtml
php|jquery|arrays|sorting,sorting array by value containing the part of string  i have an array of scripts   <pre><code>array (     [0] =&gt; /js/ionslider/ion.rangeslider.min.js     [1] =&gt; /media/jquery/jquery-2.1.4.min.js     [2] =&gt; /media/bootstrap/js/bootstrap.min.js     [3] =&gt; /widgets/wid_menu/js/menu.js ) </code></pre>   how can i sort this to get results:   <pre><code>array (     [0] =&gt; /media/jquery/jquery-2.1.4.min.js                 [1] =&gt; /media/bootstrap/js/bootstrap.min.js     [2] =&gt; /js/ionslider/ion.rangeslider.min.js             [3] =&gt; /widgets/menu/js/menu.js ) </code></pre>   e.g put jquery script and bootstrap at the top.  p.s jquery version file may be changed in the future. thanks!
java|android|c++|jni,calling system.loadlibrary twice for the same shared library  i have the situation when two jar libraries use the same shared library. in each library  the main interface  class loads the .so file with <code>system.loadlibrary</code>. my question is: if the user decides to use these two jar libraries in one project  would the second call to <code>system.loadlibrary</code> for the same .so file cause any exception  or is it  somehowe handled  by the system to prevent shared libraries from being loaded twice  or maybe there is a  commonly known pattern  to handle such situations     the jni wrappers are targeted to be used on android. i am the author of both wrapper libs so answering you can assume full control on java sources.
c#|function,showing warning when function result is not assigned to variable  i have a function that returns modified copy of object which called this function. i often do something like this:   <pre><code>obj = obj.foo(param); </code></pre>   don t ask why  i simply have to. but sometimes i (and others) forgot to assign function result  doing this:   <pre><code>obj.foo(param); </code></pre>   which repeatedly leads to time-consuming debuging.    is there any way to show an warning or error every time when function result is not assigned to a variable  or any other suggestions how to solve this issue
php|mysql|laravel|eloquent,select all from table a where id isnt in pivot table  i have a category table and a pivot table which determines the child categories. i wanted to use eloquent to select all the top level categories (categories that do not have a parent). i did want to do it with one eloquent query but haven t managed to get my head around it.     database structure   <pre><code>library_categories     id     title     slug  library_category_relationships     id     parent_id     category_id </code></pre>   model   <pre><code>class librarycategory extends \eloquent {      public function children()     {         return $this-&gt;belongstomany( librarycategory    library_category_relationships    parent_id    category_id );     }      public function parents()     {         return $this-&gt;belongstomany( librarycategory    library_category_relationships    category_id    parent_id );     }  } </code></pre>   current query (located in a repository method)   <pre><code>$relationshipids = db::table( library_category_relationships )                             -&gt;select( category_id )                             -&gt;distinct()                             -&gt;get();  // merge with id of 0 to avoid error in the next query if no relationships are found $relationshipids = array_merge([0]  array_fetch($relationshipids   category_id ));  return $this-&gt;model             -&gt;with($this-&gt;relationships)             -&gt;orderby($orderby  $sort)             -&gt;wherenotin( id   $relationshipids)             -&gt;paginate(config::get( intranet.pagination.per_page )); </code></pre>   as you can see in the first half i fetch all the unique category ids from the pivot table that are children and in the second query i fetch the categories from that are not in the previous results.    is it possible to some how include this in just one query  i would like to keep this contained within eloquent.    thanks
javascript|angularjs|html5,how to only show an option in my select and then show all of them with angularjs  i have a select with 5 options: choose an option(default selection)  level 1  level 2  level 3 and level 4. first i only want to show the options: choose an option and level 1  and when i click the option level 1 show me only the option level 2 and when i choose the option level 2 show me the option level 3  etc etc. i really dont know how to do it :(  <br>here is my code:   <pre><code>app.controller( mycontroller   [ $scope   function($scope){  $scope.niveles = [     {id:1   name :  selecciona nivel }      {id:2   name :  nivel 1 }      {id:3   name :  nivel 2 }      {id:4   name :  nivel 3 }  ]; $scope.nivelseleccion = $scope.niveles[0];  $scope.table=[ table ]; $scope.rows=[ row ]; $scope.row=[ row ]; $scope.row.text =  escribe un título ; $scope.counter = 1;  $scope.addrow = function() {     $scope.rows.push( row   + $scope.counter);     $scope.row.push( row   + $scope.counter);     $scope.counter++; } </code></pre>   }]);   <hr>  <pre><code>&lt;td&gt;    &lt;select class= minimal  ng-model= nivelseleccion     ng-options= nivel.name for nivel in niveles  ng-change= addrow()  ng-show= nivelseleccion = niveles[0]  &gt;   &lt;/select&gt;                 &lt;/td&gt; </code></pre>
c#|asp.net-mvc|linq|entity-framework|lambda,mvc4 lambda expression for simplemembership  in lambda-expressions  how can i get all users (name and id) and their assigned roles (name  id)    i am having a hard time figuring out the lambda-syntax for this joins!    eg:    <pre><code>userprofile: username  userid ken       1 barbie    2 alice     3  webpages_roles: rolename  roleid admin     1 editor    2 guest     3  webpages_usersinroles userid  roleid 1       1 1       2 2       1  result should be: username  rolename  userid  roleid ken       admin      1       1 ken       editor     1       2 barbie    admin      2       1  [table( userprofile )] public class userprofile {     [key]     [databasegeneratedattribute(databasegeneratedoption.identity)]     public int userid { get; set; }     public string username { get; set; }     public virtual icollection&lt;usersinrole&gt; usersinrole { get; set; } }  [table( webpages_roles )] public class role {     public role()     {         members = new list&lt;membership&gt;();     }      [key]     public int roleid { get; set; }     [stringlength(256)]     public string rolename { get; set; }      public icollection&lt;membership&gt; members { get; set; }     public virtual icollection&lt;usersinrole&gt; usersinrole { get; set; } }   [table( webpages_usersinroles )] public class usersinrole {     [key  column(order = 0)]     public int userid { get; set; }     public virtual userprofile user { get; set; }      [key  column(order = 1)]     public int roleid { get; set; }     public virtual role role { get; set; } } </code></pre>
javascript|angularjs,angularjs - is it possible to compile and link template from code   how do i make the following code append <strong>2</strong> to the document    <pre><code>var $injector = angular.injector([ ng ]);  $injector.invoke(function ($compile  $rootscope) {     var link = $compile( &lt;p&gt;{{1+1}}&lt;/p&gt; );     var newelement = link($rootscope);      $(document.body).append(newelement); }); </code></pre>   what i now see in browser is   <pre><code>{{1+1}} </code></pre>   <strong>edit</strong>    i want the added to body element  not just be interpolated static html  but to be an angular app - so that it reflects changes in scope  has event handlers  etc.
php|.htaccess,how to url redirect/rewrite using the .htaccess file  how to write .htaccess rewriterule for the below url. i am new to htaccess.     <a href= http://velloredentists.com/search.php s=vasan+dental+clinic&amp;c=bagayam  rel= nofollow >http://velloredentists.com/search.php s=vasan+dental+clinic&amp;c=bagayam</a> )     to    <a href= http://velloredentists.com/search/vasan+dental+clinic/bagayam  rel= nofollow >http://velloredentists.com/search/vasan+dental+clinic/bagayam</a>    please help me to solve this.
java|intellij-idea,what i can t run a class file created intellij idea   have a simple programm:   <pre><code>package com.test;  public class main {      public static void main(string[] args) {         system.out.println( lol );     } } </code></pre>   in intellij idea project run correctly  but if i run out class file by cmd  like <code>java main.class</code> i have a error   <pre><code>error: could not find or load main class main.class </code></pre>   if i compile <code>.java</code> manually - i have some error.    in $path path to <code>.../jdk/bin</code>. in intellij idea path to sdk <code>.../jdk</code>.    what s the problem     thanks!
jquery|jquery-ui,more specific theme roller customization  i was just wondering if anyone had any experience with more customized/specified theme rolling     i am just getting into jquery ui and i d like to  for example  roll a theme where the dialog styles differ from the rest of the theme.    thanks for any guidance.
android|canvas,scroll text left to right on canvas android with overlay  hello my canvas is simple on drawtext i am doing this   <pre><code>string rotatedtext =  text 1 ;          paint paint = new paint();         paint.setcolor(color.red);         paint.setstyle(paint.style.fill);         paint.settextsize(40);          canvas.drawpoint(30.0f  50.0f  paint);          canvas.drawtext(rotatedtext  canvas.getwidth() / 3  canvas.getheight() / 2  paint);  string rotatedtext =  text 2  ;          paint paint = new paint();         paint.setcolor(color.red);         paint.setstyle(paint.style.fill);         paint.settextsize(40);          canvas.drawbitmap(canvasbmp  0  0  paint);          canvas.drawpoint(30.0f  50.0f  paint);          canvas.drawtext(rotatedtext  canvas.getheight() / 3  canvas.getwidth() / 2  paint); </code></pre>   now the overlay text 2  over text 1  now i want if i can scroll the text 2 from left to right keeping it overlay      also the    <blockquote>    canvas.getwidth /2  </blockquote>   does not bring middle of the canvas what i am looking for
c#|tfs|mailchimp|servicestack-text,serializationexception on one machine and not on another  i am using visual studio 2013 and tfs for a project. my colleague and i have machines with windows 8.1 and windows 8 respectively  both pointing to same database. both machines have latest .net framework installed.    till now all was fine  until i added nuget package mailchimp.net  it also have dependency on servicestack.text. it threw below error on just my machine for any mailchimp api calls   <blockquote>    type definitions should start with a  {   expecting serialized type    apierror   got string starting with: <code>&lt;html&gt;</code>        <code>&lt;head&gt;</code>        <code>&lt;meta http-equiv= content-type  co</code>  </blockquote>   i tried same on my collegues machine and all works fine. even if i copy paste whole solution to my local machine and run  there is same serializationexception.    this is where only my machine throws error   <blockquote>    at servicestack.text.common.deserializetyperefjson.stringtotype(type type  string strtype  emptyctordelegate ctorfn  dictionary`2 typeaccessormap)  </blockquote>   anything i am missing due to which this error occurs
c#|filehelpers,how to comment or ignore a line in the txt file using filehelpers  ignorefirst(int) or ignorelast(int) only ignore a fixed number of lines as header or footer. but i like to ignore or comment a specific line(s) in the txt/csv file. for example like below (ignore some paragraphs or a specific line in txt/csv):   <pre><code>############# this is a comment ########## /* some comment paragraph   some more comments last line of comment */ 1 foo fooitem1 2 foo fooitem2 3 goo gooitem3 #4 doo dooitem4 &lt;-- ignore.  5 eoo eooitem5 </code></pre>   i have read about beforereadrecord and skipthisrecord that could potentially resolve this problem  but the documentation is as simple as the image  and has no explanation nor supply an example.     <a href= https://i.stack.imgur.com/pnexu.png  rel= nofollow noreferrer ><img src= https://i.stack.imgur.com/pnexu.png  alt= enter image description here ></a>
javascript|squarespace|p5.js,full-screen code block/banner (squarespace)  i am in the process of developing a portfolio website. my existing website is poorly formatted and designed and i would like to move over to squarespace  however i am struggling to inject my p5.js sketches into squarespace.    in my <a href= http://lockedsgn.com/home2.html  rel= nofollow noreferrer >existing website</a> i have placed a p5.js sketch behind my title. this is achieved by coding the script to span the width of the page and dynamically resize. my title text is styled in css to appear in front of the script with it s z-index. (simple right )    in my new <a href= https://aiden-locke-th3p.squarespace.com  rel= nofollow noreferrer >squarespace site</a>  i would like to create the same effect  by choosing  advanced  when editing the banner content  and the inserting the code for the script under  page header code injection   as well as embedding a link to the p5.js library. when i do this i end up with a white screen and no animation.     tl;dr moving my bootstrap site to squarespace  can t inject a p5.js script into my banner.
python|json|django|django-rest-framework,how can make field optional in django rest nested serializer  i have this code   <pre><code># models  class parent(models.model):         something = models.charfield(max_length=255)  class child1(models.model):         thing = models.booleanfield()         parent = models.foreignkey(parent)      # serializers  class child1serializer(baseserializer):      class meta:         model = child1         fields = ( thing    parent )  class child2serializer(baseserializer):      class meta:         model = child2         fields = ( thing    parent )  class parentserializer(baseserializer):     sisters = child1serializer(many=true)     cousins = child2serializer(many=true) </code></pre>   now when i do post in child1 and then pass parent in json and everything works    but when i want to write nested serializer of parent so that child also gets created automatically   <pre><code> sisters : [    {        thing :  tom     } ]   cousins : [    {        thing :  mike     }  ] </code></pre>   then i don t need to pass parent as i will manually assign in create method   <pre><code>def create(self  validated_data):     sisters = validated_data.pop( sisters )     parent = parent.objects.create(**validated_data)     for obj in sisters:         child1.objects.create(parent=parent  **obj)     return parent </code></pre>   the problem is when i post parent then i get validation error that in sister   that parent is required
javascript|jquery|html|timer|onchange,auto submit form after x mili seconds of inactive keyboard  in my form i have a set of input boxes where a user can input a value. on change of one of these boxes  the form automatically gets submitted.    the problem now is however that a user stays in the last field  takes the mouse and presses the ok button (of another form) without leaving the textbox first. the change event doesn t get triggered and the old  incorrect values get passed to the next page.    i want to trigger the onchange event after a few miliseconds of inactive keyboard. just like most autocomplete plugins do.<br> i think i could implement a timer that starts timing the moment you enter an input field and gets resetted everytime a keystroke is handled and then when it reaches zero the onchange event gets triggered.    i m not up for re-inventing the wheel and was wondering if such a function is available somewhere.<br> suggestions
java|android|navigation-drawer|android-xml|navigationview,adding a view to a drawer layout in navigation drawer  i have a drawer layout with a navigation view and this is populated with menu items  i want to include an image at the bottom of the drawer below the menu items where there is blank space but having difficulty achieving this  i have tried to add imageview but it places this behind the drawer and not where i was hoping. another idea i had was to use a footer like the header but this would not work for me! thank you   <pre><code>&lt;android.support.v4.widget.drawerlayout xmlns:android= http://schemas.android.com/apk/res/android      xmlns:app= http://schemas.android.com/apk/res-auto      xmlns:tools= http://schemas.android.com/tools      android:id= @+id/drawer_layout      android:layout_width= match_parent      android:layout_height= match_parent      android:fitssystemwindows= true      tools:opendrawer= start &gt;      &lt;include         layout= @layout/app_bar_main          android:layout_width= match_parent          android:layout_height= match_parent  /&gt;      &lt;android.support.design.widget.navigationview         app:theme= @style/navigationdrawerstyle          android:id= @+id/nav_view          android:layout_width= 400dp          android:layout_height= match_parent          android:layout_gravity= start          android:fitssystemwindows= true          app:itemtextcolor= #ffe300          app:headerlayout= @layout/nav_header_main          app:menu= @menu/activity_main_drawer          android:background= @drawable/side_nav_bar /&gt;   &lt;/android.support.v4.widget.drawerlayout&gt; </code></pre>   layout   <pre><code>&lt;menu xmlns:android= http://schemas.android.com/apk/res/android &gt;      &lt;group android:checkablebehavior= single &gt;         &lt;item             android:id= @+id/first_one              android:icon= @drawable/ic_menu_book              android:title= to begin  /&gt;          &lt;item             android:id= @+id/second_one              android:icon= @drawable/nav              android:title= continue  /&gt;          &lt;item             android:id= @+id/more_stories              android:icon= @drawable/navtwo              android:title= more stories  /&gt;           &lt;item             android:id= @+id/nav_manage              android:icon= @drawable/rsz_win              android:title= help  /&gt;          &lt;item             android:id= @+id/newone              android:icon= @drawable/rsz_win              android:title= add something here  /&gt;     &lt;/group&gt;      &lt;item android:title= communicate &gt;          &lt;menu&gt;             &lt;item                 android:id= @+id/nav_share                  android:icon= @drawable/shareicon                  android:title= share /&gt;             &lt;item                 android:id= @+id/nav_send                  android:icon= @drawable/send                  android:title= send  /&gt;         &lt;/menu&gt;     &lt;/item&gt; &lt;/menu&gt; </code></pre>
android|google-play,faking contacts for screenshots  are there any easy way to load fake contacts in your phone  so that you can take screenshots and videos of your app     one idea would be to create a new google account with fake contacts  but i don t think there is a way to make your application display the contacts of that account only  without any additional programming involved.
c#|wcf|entity-framework-4|ef-code-first|circular-reference,how to handle circular references -or- break references beneath first level children returned in wcf services exposing entity framework data model   i am trying to expose my data model (code first entity framework) via wcf web services over json.  the model has multiple many-to-many relationships and has lazy loading enabled.  our web services should be able to return only the first level of multiple child objects.  i continue to receive the following error:     cannot evaluate expression because the current thread is in a stack overflow state.     i realize that this error is occurs when serializing data that has a circular reference.      after reading another thread i attempted the following remedies to handle the circular reference:   <ul> <li>wcf and datacontractserializer: explicitly mark your entities with datacontract[isreference=true] and all properties with [datamember] attributes. this will allow you to use circular references. if you are using t4 template to generate entities you must modify it to add these attributes for you.</li> <li>wcf and datacontractserializer: implicit serialization. mark one of related navigation properties with [ignoredatamember] attribute so that property is not serialized.</li> <li>xmlserializer: mark one fo related navigation properties with [xmlignore] attribute</li> <li>other serializations: mark one of related navigation properties with [nonserialized] (+1 for haz he was the first to mention this) for common serialization or [scriptignore] for some json related serialization.</li> </ul>   none of these different approaches have worked.  all i really need is the first level of the children objects.  i do not need the children of the children so to speak.  i added the following code to manually break the references to the child objects of the first level children  and this worked but is not a valid solution:   <pre><code>    [webinvoke(method =  post   responseformat = webmessageformat.json  uritemplate =  getreporttypes )]     public list&lt;reporttype&gt; getreporttypes()     {         list&lt;reporttype&gt; result = businesslogic.getreporttypes(_context).tolist();         foreach (var x in result)         {             foreach (var y in x.sections)             {                 y.reporttype = null;             }          };         return result;     } </code></pre>   i am looking for a solid approach to handling the serialization of objects with many-to-many relationships in ef exposed via wcf -or- simply to just break the references below the first level children.  i am open to making changes to the data model or reconfiguring the web service somehow.    for completeness  listed below is all of my relevant code:   <pre><code>[datacontract(isreference = true)] [table( reporttype   schema =  reporting )] public class reporttype {     [key]     [column( id )]     [databasegenerated(databasegeneratedoption.identity)]     [datamember]     public int id { get; set; }      [datamember]     public virtual icollection&lt;reporttypesection&gt; sections { get; set; } }   [table( section   schema =  reporting )] [datacontract(isreference = true)] public class section {     [key]     [column( id )]     [databasegenerated(databasegeneratedoption.identity)]     [datamember]     public int id { get; set; }      [datamember]     public virtual icollection&lt;reporttypesection&gt; reporttypes { get; set; } }  [table( reporttypesection   schema =  reporting )] [datacontract(isreference=true)] public class reporttypesection {     [column( id )]     [key]     [databasegenerated(databasegeneratedoption.identity)]     [datamember]     public int id { get; set; }      [column( reporttypeid )]     [required(errormessage =  report type section foreign key report type id is required )]     [datamember]     public int reporttypeid { get; set; }      [column( sectionid )]     [required(errormessage =  report type section foreign key section id is required )]     [datamember]     public int sectionid { get; set; }      [datamember]     public virtual reporttype reporttype { get; set; }      [datamember]     public virtual section section { get; set; }  }  public class businesslogic {     public static ienumerable&lt;reporttype&gt; getreporttypes(idatabasecontext context)     {         ienumerable&lt;reporttype&gt; result = context.reporttypes             .include(a =&gt; a.sections)             .asenumerable();         return result;     } }  public class reportconfigurationservice : ireportconfigurationservice {     private iemspeeddatabasecontext _context;     public reportconfigurationservice(iemspeeddatabasecontext context)     {         _context = context;     }      [webinvoke(method =  post   responseformat = webmessageformat.json  uritemplate =  getreporttypes )]     public list&lt;reporttype&gt; getreporttypes()     {         list&lt;reporttype&gt; result = businesslogic.getreporttypes(_context).tolist();         return result;     } }  [servicecontract] public interface ireportconfigurationservice {      [operationcontract]     [applydatacontractresolver]     list&lt;reporttype&gt; getreporttypes(); } </code></pre>
java|linked-list|override|priority-queue,contains function linkedlist <pre><code>public class state implements comparator&lt;state&gt;{         point a;         point b;         private int path_cost=0;         ... }      class point {         int x;         int y;         ...     } </code></pre>   for above i have:   <pre><code>priorityqueue&lt;state&gt; opennode= new priorityqueue&lt;state&gt;(); linkedlist&lt;state&gt; closed =new linkedlist&lt;state&gt;(); state currnode; </code></pre>   i need to check if the <code>point a</code> of any <code>opennode</code> or <code>closed</code> equals <code>currnode</code> s <code>point a</code>.    i could use <code>contains</code> if i had to match the entire object but here i just care about one variabale (point a) of state class. i want the method to check all the nodes in priorityqueue and linkedlist.    <em>addition:</em> i am thinking about using iterator on my priorityqueue and linkedlist. but i am not sure how to read the value of point a using iterator.
java|interface,how to pass a instance to a class that must implement an interface and then use it in java   i want pass a class-instace to a method of an other and be sure that it implements the needed interface. the code is something like this   <pre><code>public interface myinterface{    somemethod(); }  public class a implements myinterface{     b binst;     public somemethod(){         //stuff     }      public bar(){         binst = new b(this); // [4]     } }  public class b{      private myinterface x;       //[1]      // here i don t want to use      void b( myinterface y ){     // [2]         this.x=y;            // [3]     }      private void foo(){         x.somemethod();     }  } </code></pre>   i tried subsituting   myinterface  in [1] and [2] with  class&lt;   extends ibtbytesreciever>  but compiler give me errors or in [2] or in [3].    what is the best way to implement my idea     note: i don t want to use directly class a because class b don t need to know the exact name of the class and it must be reusable with different classes     edit: the error is on [4]   <pre><code> constructor b( class a ) not defined </code></pre>
javascript|jquery,scan for class name on page  i need to search an entire web page for <code>class= error </code>  and if it doesn t exist  change <code>error = true</code> to <code>error = false</code>.     how can i do this with jquery  i have a vague feeling i can do it with <code>.each();</code> somehow  but i m not sure how to go about it.
c#|windows,getting the handle of a hidden form  i have a console application (<code>srman.exe</code>) which derives from <code>system.windows.forms.form</code>. i could be able to hide the form while exe is running. code i used is here   <pre><code>    this.opacity = 0;     this.size = new size(0  0);     this.location = new point(-100  -100);     this.visible = false; </code></pre>   aslo  configured the form properties <code>showicon</code> and <code>showintaskbar</code> to false.    but i could not able to get the window handle of the of that running process.code i used is here   <pre><code>process[] process1 = process.getprocessesbyname( srman ); intptr pt = process1[0].mainwindowhandle; </code></pre>   any help is appreciated!    thanks <br> karim.
